send_array[53].sysTime = 585350	nID = 13	sink = 1	sender = 13	seq_no = 53	priority = 2	line = 586
send_array[54].sysTime = 596123	nID = 13	sink = 1	sender = 13	seq_no = 54	priority = 1	line = 588
send_array[55].sysTime = 606445	nID = 13	sink = 1	sender = 13	seq_no = 55	priority = 2	line = 590
send_array[56].sysTime = 616737	nID = 13	sink = 1	sender = 13	seq_no = 56	priority = 1	line = 591
send_array[57].sysTime = 627045	nID = 13	sink = 1	sender = 13	seq_no = 57	priority = 2	line = 593
send_array[58].sysTime = 636529	nID = 13	sink = 1	sender = 13	seq_no = 58	priority = 1	line = 594
send_array[59].sysTime = 646688	nID = 13	sink = 1	sender = 13	seq_no = 59	priority = 2	line = 595
send_array[60].sysTime = 657135	nID = 13	sink = 1	sender = 13	seq_no = 60	priority = 1	line = 597
send_array[61].sysTime = 667543	nID = 13	sink = 1	sender = 13	seq_no = 61	priority = 2	line = 598
send_array[62].sysTime = 678058	nID = 13	sink = 1	sender = 13	seq_no = 62	priority = 1	line = 600
send_array[63].sysTime = 688781	nID = 13	sink = 1	sender = 13	seq_no = 63	priority = 2	line = 602
send_array[64].sysTime = 697806	nID = 13	sink = 1	sender = 13	seq_no = 64	priority = 1	line = 603
send_array[65].sysTime = 707665	nID = 13	sink = 1	sender = 13	seq_no = 65	priority = 2	line = 605
send_array[66].sysTime = 798704	nID = 13	sink = 1	sender = 13	seq_no = 66	priority = 1	line = 619
send_array[67].sysTime = 808171	nID = 13	sink = 1	sender = 13	seq_no = 67	priority = 2	line = 621
send_array[68].sysTime = 818013	nID = 13	sink = 1	sender = 13	seq_no = 68	priority = 1	line = 623
send_array[69].sysTime = 1483762	nID = 13	sink = 1	sender = 13	seq_no = 69	priority = 2	line = 731
send_array[70].sysTime = 1493930	nID = 13	sink = 1	sender = 13	seq_no = 70	priority = 1	line = 732
send_array[71].sysTime = 1597751	nID = 13	sink = 1	sender = 13	seq_no = 71	priority = 2	line = 748
send_array[72].sysTime = 1607164	nID = 13	sink = 1	sender = 13	seq_no = 72	priority = 1	line = 749
send_array[73].sysTime = 1616455	nID = 13	sink = 1	sender = 13	seq_no = 73	priority = 2	line = 750
send_array[74].sysTime = 2232119	nID = 13	sink = 1	sender = 13	seq_no = 74	priority = 1	line = 852
send_array[75].sysTime = 2241395	nID = 13	sink = 1	sender = 13	seq_no = 75	priority = 2	line = 854
send_array[76].sysTime = 2250918	nID = 13	sink = 1	sender = 13	seq_no = 76	priority = 1	line = 855
send_array[77].sysTime = 2359968	nID = 13	sink = 1	sender = 13	seq_no = 77	priority = 2	line = 872
send_array[78].sysTime = 2370518	nID = 13	sink = 1	sender = 13	seq_no = 78	priority = 1	line = 874
send_array[79].sysTime = 2381272	nID = 13	sink = 1	sender = 13	seq_no = 79	priority = 2	line = 875
send_array[80].sysTime = 2390905	nID = 13	sink = 1	sender = 13	seq_no = 80	priority = 1	line = 876
send_array[81].sysTime = 2400579	nID = 13	sink = 1	sender = 13	seq_no = 81	priority = 2	line = 878
send_array[82].sysTime = 3327916	nID = 13	sink = 1	sender = 13	seq_no = 82	priority = 1	line = 1027
send_array[83].sysTime = 3338710	nID = 13	sink = 1	sender = 13	seq_no = 83	priority = 2	line = 1028
send_array[84].sysTime = 3661382	nID = 13	sink = 1	sender = 13	seq_no = 84	priority = 1	line = 1080
send_array[85].sysTime = 3721823	nID = 13	sink = 1	sender = 13	seq_no = 85	priority = 2	line = 1089
