1000,0,1000,292,43032078,708,10089.97,29822.72,2221721.5,0.43,0.15
1000,28,972,197,78945214,803,13362.46,89587.06,3742653.5,0.31,0.09
1000,0,1000,231,58952564,769,13653.27,63706.48,2573735.75,0.34,0.12
1000,0,1000,210,66340854,790,32683.12,53755.08,2926553.25,0.3,0.12
,,,,,,,,,,
,,,,,,,,,,
1000,0,1000,292,43032078,708,10089.97,550006.62,593714.88,0.29,0.29
1000,28,972,197,78945214,803,13362.46,1009824.06,1020204.44,0.19,0.21
1000,0,1000,231,58952564,769,13653.27,702832.5,748413.5,0.24,0.23
1000,0,1000,212,67685018,788,32683.12,722133.94,871577.12,0.22,0.2
